REGION,OS,PROTOCOL,X_1,X_2,X_3,X_4,X_5,X_6,X_7,MALICIOUS_OFFENSE
Africa,Linux,HTTP,36,2,4,2,93,174,103,1
North America,Linux,SMTP,24,0,7,1,130,249,59,1
Asia,Linux,HTTP,35,3,1,0,29,249,103,1
Africa,Linux,HTTP,40,2,5,6,80,316,103,1
North America,Linux,HTTP,37,0,2,7,142,316,72,1
South America,Linux,HTTP,8,7,6,4,29,174,72,1
North America,Linux,HTTP,17,0,6,4,142,303,72,1
Asia,Linux,HTTP,49,6,2,7,93,174,72,1
Asia,Mac,HTTP,4,6,9,8,119,174,112,1
South America,Windows,HTTP,22,7,15,10,62,174,103,1
Asia,Linux,HTTP,4,6,1,0,93,174,18,1
North America,Linux,HTTP,24,0,4,2,119,316,72,1
South America,Mac,HTTP,42,7,9,8,29,174,92,1
Asia,Linux,HTTP,5,3,2,7,29,249,103,1
South America,Mac,HTTP,9,7,18,13,142,316,112,1
North America,Linux,HTTP,24,0,4,2,115,316,92,1
South America,Linux,HTTP,47,7,7,1,130,174,54,1
North America,Linux,HTTP,18,9,3,5,29,174,103,1
North America,Linux,HTTP,25,9,6,4,80,316,72,1
Asia,Linux,HTTP,4,6,1,0,93,249,98,1
Africa,Linux,HTTP,41,4,8,3,103,316,72,1
North America,Linux,HTTP,37,0,2,7,142,249,72,1
Africa,Linux,HTTP,33,2,6,4,103,174,116,1
Africa,Windows,HTTP,36,2,11,17,130,249,92,1
Africa,Mac,HTTP,21,4,9,8,93,174,112,1
South America,Linux,HTTP,7,7,2,7,87,316,2,1
Africa,Linux,HTTP,33,2,7,1,29,316,112,1
North America,Windows,SMTP,25,9,16,12,87,249,109,1
Asia,Linux,HTTP,39,6,6,4,62,316,12,1
South America,Windows,HTTP,9,7,15,10,107,174,92,1
Asia,Linux,HTTP,3,3,1,0,142,316,103,1
South America,Linux,HTTP,45,10,3,5,130,249,103,1
Asia,Linux,HTTP,49,6,2,7,0,328,103,1
Asia,Windows,HTTP,4,6,16,12,80,316,87,1
Asia,Windows,HTTP,39,6,11,17,93,174,92,1
North America,Linux,HTTP,37,0,9,8,107,316,54,1
Asia,Linux,HTTP,4,6,2,7,107,0,72,1
Africa,Linux,HTTP,33,2,6,4,93,174,103,1
North America,Linux,SSH,24,0,7,1,142,0,54,1
Asia,Linux,HTTP,4,6,6,4,80,316,72,1
Africa,Linux,HTTP,21,4,6,4,29,249,72,1
Asia,Linux,HTTP,4,6,4,2,93,174,112,1
North America,Linux,HTTP,43,9,4,2,124,60,109,0
Africa,Linux,HTTP,36,2,5,6,29,249,92,1
Asia,Linux,HTTP,35,3,1,0,80,0,92,1
Asia,Linux,HTTP,4,6,5,6,29,0,103,1
Asia,Linux,HTTP,3,3,1,0,133,174,18,1
North America,Linux,HTTP,16,0,8,3,29,0,103,1
Asia,Linux,HTTP,4,6,4,2,119,174,72,1
Asia,Linux,HTTP,49,6,2,7,119,249,48,1
Africa,Linux,HTTP,21,4,2,7,93,174,72,1
Africa,Linux,HTTP,21,4,4,2,80,316,92,1
Asia,Linux,HTTP,35,3,1,0,142,316,84,1
Africa,Linux,HTTP,23,4,5,6,29,249,113,1
South America,Linux,HTTP,45,10,2,7,107,0,103,1
North America,Windows,HTTP,24,0,11,17,93,249,103,1
South America,Linux,HTTP,42,7,7,1,115,74,34,1
Africa,Windows,HTTP,36,2,15,10,93,249,92,1
Africa,Linux,HTTP,21,4,2,7,29,249,103,1
Asia,Linux,HTTP,35,3,4,2,80,0,24,1
South America,Linux,HTTP,45,10,8,3,79,0,72,1
Africa,Linux,HTTP,6,4,4,2,130,249,103,1
North America,Linux,HTTP,24,0,5,6,93,249,103,1
Asia,Linux,HTTP,4,6,1,0,80,316,72,1
Asia,Linux,HTTP,4,6,4,2,119,174,116,1
Asia,Linux,HTTP,28,3,5,6,77,316,112,1
Asia,Mac,HTTP,4,6,9,8,93,249,112,1
North America,Linux,HTTP,24,0,5,6,29,249,72,1
South America,Linux,HTTP,44,1,7,1,29,249,109,1
Africa,Linux,HTTP,23,4,6,4,29,263,72,0
Asia,Linux,HTTP,4,6,1,0,29,249,103,1
Asia,Linux,HTTP,3,3,3,5,62,249,92,1
Asia,Linux,SMTP,4,6,2,7,62,303,72,1
Africa,Linux,HTTP,36,2,1,0,93,174,103,1
Asia,Linux,HTTP,49,6,6,4,29,249,103,1
Africa,Linux,HTTP,36,2,1,0,93,249,103,1
Asia,Linux,HTTP,4,6,5,6,29,249,98,1
Asia,Windows,HTTP,4,6,15,10,29,249,103,1
Africa,Linux,HTTP,33,2,8,3,87,249,92,1
Africa,Linux,HTTP,36,2,1,0,93,174,103,1
North America,Linux,HTTP,16,0,1,0,29,316,112,1
Africa,Linux,HTTP,36,2,1,0,142,0,92,1
Asia,Linux,HTTP,4,6,3,5,29,316,72,1
Asia,Mac,HTTP,49,6,9,8,29,249,2,1
Asia,Windows,HTTP,4,6,16,12,93,174,103,1
Africa,Linux,HTTP,33,2,5,6,138,174,18,1
Africa,Linux,HTTP,21,4,5,6,29,316,2,1
Africa,Linux,HTTP,33,2,6,4,93,174,18,1
North America,Linux,HTTP,31,9,6,4,142,162,113,1
Asia,Linux,HTTP,5,3,4,2,93,174,103,1
Africa,Linux,HTTP,40,2,1,0,93,174,92,1
Asia,Linux,SMTP,49,6,5,6,29,0,103,1
South America,Windows,HTTP,22,7,15,10,29,174,103,1
Africa,Mac,HTTP,36,2,9,8,80,249,92,1
Asia,Linux,HTTP,15,3,8,3,29,249,103,1
Asia,Linux,HTTP,4,6,2,7,142,249,72,1
Asia,Linux,HTTP,4,6,4,2,93,174,103,1
Asia,Linux,HTTP,4,6,2,7,62,316,116,1
Africa,Linux,HTTP,21,4,6,4,93,174,18,1
Asia,Linux,HTTP,4,6,5,6,142,249,24,1
South America,Linux,HTTP,45,10,5,6,142,0,98,1
North America,Linux,HTTP,24,0,6,4,29,0,103,1
South America,Windows,HTTP,42,7,12,16,115,127,103,1
Asia,Linux,HTTP,3,3,1,0,29,316,72,1
North America,Linux,HTTP,16,0,8,3,29,316,72,1
North America,Linux,HTTP,24,0,5,6,142,249,98,1
Africa,Mac,HTTP,40,2,16,12,29,249,58,1
Africa,Linux,HTTP,21,4,7,1,93,174,112,1
South America,Windows,HTTP,44,1,11,17,29,174,103,1
Africa,Linux,HTTP,33,2,7,1,62,174,116,1
South America,Linux,HTTP,45,10,7,1,142,174,72,1
Asia,Linux,HTTP,4,6,1,0,130,316,34,1
North America,Linux,HTTP,16,0,5,6,29,174,103,1
Africa,Linux,HTTP,33,2,5,6,62,174,92,1
Africa,Linux,HTTP,6,4,4,2,62,249,103,1
Africa,Windows,HTTP,36,2,15,10,93,174,92,1
North America,Linux,HTTP,37,0,8,3,77,231,98,1
South America,Linux,HTTP,45,10,2,7,80,316,72,1
North America,Linux,HTTP,24,0,4,2,93,174,92,1
Asia,Linux,HTTP,3,3,1,0,62,316,109,1
South America,Linux,HTTP,45,10,2,7,119,316,112,1
North America,Linux,HTTP,16,0,6,4,29,249,103,1
Africa,Linux,HTTP,36,2,1,0,142,316,92,1
North America,Linux,HTTP,24,0,5,6,29,249,72,1
South America,Linux,HTTP,9,7,6,4,62,316,72,1
Africa,Linux,HTTP,21,4,5,6,142,179,92,0
South America,Linux,HTTP,44,1,4,2,80,299,92,1
South America,Windows,HTTP,44,1,16,12,29,174,112,1
Asia,Linux,HTTP,15,3,7,1,93,316,112,1
Asia,Linux,HTTP,3,3,4,2,80,0,98,1
South America,Linux,HTTP,45,10,6,4,29,174,103,1
Asia,Linux,HTTP,4,6,1,0,142,249,72,1
Africa,Linux,HTTP,21,4,2,7,142,249,103,1
Asia,Linux,HTTP,4,6,3,5,29,316,72,1
South America,Windows,HTTP,9,7,15,10,107,0,72,1
Asia,Mac,HTTP,3,3,9,8,119,174,112,1
South America,Linux,HTTP,7,7,2,7,62,316,72,1
Africa,Linux,HTTP,36,2,1,0,87,174,103,1
South America,Linux,HTTP,45,10,6,4,29,316,103,1
Africa,Linux,HTTP,36,2,3,5,142,316,92,1
Africa,Windows,HTTP,36,2,15,10,29,174,92,1
North America,Linux,HTTP,17,0,5,6,62,0,54,1
South America,Linux,HTTP,9,7,2,7,80,174,10,1
Asia,Linux,HTTP,46,3,6,4,142,328,98,1
Africa,Windows,HTTP,36,2,15,10,29,249,92,1
North America,Linux,HTTP,24,0,4,2,115,174,111,1
North America,Linux,HTTP,24,0,6,4,142,316,72,1
South America,Mac,HTTP,47,7,9,8,29,174,112,1
Africa,Linux,HTTP,36,2,1,0,62,127,103,0
Africa,Windows,HTTP,36,2,15,10,133,174,18,1
Asia,Linux,HTTP,4,6,1,0,62,316,103,1
Asia,Mac,HTTP,4,6,9,8,93,174,110,1
Asia,Linux,HTTP,49,6,7,1,29,249,103,1
South America,Linux,HTTP,19,1,6,4,62,174,103,1
Asia,Linux,HTTP,4,6,2,7,62,174,98,1
South America,Windows,HTTP,44,1,11,17,29,249,103,1
Africa,Linux,HTTP,33,2,7,1,87,249,113,1
Africa,Linux,HTTP,21,4,7,1,93,174,92,1
Asia,Linux,HTTP,15,3,4,2,62,174,72,1
North America,Linux,HTTP,16,0,1,0,29,0,72,1
Asia,Windows,HTTP,4,6,15,10,142,174,103,1
South America,Linux,HTTP,47,7,4,2,93,174,18,1
South America,Windows,HTTP,9,7,15,10,107,0,72,1
Asia,Linux,HTTP,4,6,1,0,103,316,72,1
Africa,Linux,HTTP,36,2,1,0,142,316,92,1
Asia,Linux,HTTP,4,6,2,7,93,249,103,1
Africa,Linux,HTTP,6,4,5,6,29,174,54,1
Asia,Linux,HTTP,39,6,2,7,130,303,72,1
South America,Linux,HTTP,45,10,8,3,130,225,40,1
Asia,Linux,HTTP,39,6,3,5,142,249,24,1
South America,Windows,HTTP,22,7,15,10,93,174,72,1
Africa,Linux,HTTP,40,2,3,5,29,249,72,1
North America,Windows,HTTP,18,9,12,16,142,328,92,1
Africa,Windows,HTTP,36,2,15,10,80,316,92,1
Africa,Linux,HTTP,21,4,4,2,93,174,111,1
Asia,Mac,HTTP,4,6,9,8,62,174,112,1
Asia,Linux,HTTP,4,6,6,4,29,174,103,1
Africa,Linux,HTTP,36,2,1,0,93,174,103,1
North America,Linux,HTTP,17,0,2,7,62,0,103,1
Asia,Linux,HTTP,4,6,3,5,103,0,72,1
Africa,Mac,HTTP,36,2,18,13,87,127,103,1
Asia,Linux,HTTP,3,3,1,0,103,174,103,1
Asia,Windows,HTTP,15,3,16,12,87,174,98,1
North America,Linux,HTTP,37,0,7,1,29,249,92,1
North America,Linux,HTTP,16,0,1,0,62,0,72,1
South America,Linux,HTTP,47,7,8,3,29,330,113,1
North America,Linux,HTTP,24,0,7,1,142,174,72,1
Asia,Linux,HTTP,4,6,6,4,138,174,18,1
Africa,Linux,HTTP,33,2,5,6,93,127,103,1
Asia,Linux,SMTP,3,3,1,0,80,0,92,1
Asia,Linux,HTTP,3,3,3,5,29,0,98,1
Asia,Linux,HTTP,3,3,1,0,14,249,24,1
Asia,Linux,HTTP,49,6,2,7,14,249,72,1
Asia,Linux,HTTP,4,6,6,4,29,303,98,1
Africa,Linux,HTTP,6,4,5,6,29,249,72,1
North America,Linux,HTTP,37,0,3,5,29,249,72,1
Asia,Linux,HTTP,4,6,1,0,130,316,67,1
Asia,Linux,HTTP,4,6,4,2,29,249,103,1
Asia,Linux,HTTP,4,6,1,0,62,316,72,1
North America,Linux,HTTP,37,0,5,6,93,174,18,1
Africa,Linux,HTTP,33,2,5,6,93,249,103,1
Africa,Linux,HTTP,33,2,6,4,29,316,103,1
Africa,Linux,HTTP,40,2,3,5,138,0,72,1
Africa,Linux,HTTP,21,4,2,7,29,249,103,1
Asia,Windows,HTTP,4,6,15,10,133,174,18,1
Asia,Windows,HTTP,4,6,11,17,62,179,103,0
Africa,Linux,HTTP,33,2,6,4,93,127,103,1
Africa,Linux,HTTP,6,4,6,4,80,0,12,1
North America,Linux,HTTP,37,0,2,7,130,316,103,1
Asia,Linux,HTTP,4,6,5,6,29,0,103,1
South America,Windows,HTTP,47,7,15,10,29,174,112,1
South America,Linux,HTTP,45,10,2,7,29,249,84,1
South America,Linux,HTTP,44,1,6,4,62,249,109,1
North America,Linux,HTTP,37,0,2,7,29,316,103,1
Asia,Linux,HTTP,4,6,4,2,93,174,112,1
Africa,Linux,HTTP,33,2,7,1,29,174,103,1
South America,Linux,HTTP,45,10,3,5,142,249,109,1
South America,Windows,HTTP,22,7,15,10,142,316,112,1
Asia,Windows,HTTP,49,6,15,10,93,174,103,1
Africa,Linux,HTTP,36,2,1,0,93,174,18,1
North America,Linux,HTTP,16,0,5,6,93,174,92,1
Africa,Mac,HTTP,36,2,13,18,29,174,92,1
Asia,Mac,HTTP,4,6,18,13,107,249,2,1
North America,Linux,HTTP,24,0,8,3,142,218,72,1
Asia,Linux,HTTP,4,6,2,7,62,303,72,1
Asia,Linux,HTTP,4,6,5,6,29,316,72,1
Africa,Linux,HTTP,33,2,6,4,29,249,112,1
Africa,Linux,HTTP,21,4,4,2,80,316,88,1
Africa,Windows,HTTP,36,2,15,10,29,249,92,1
Asia,Linux,HTTP,4,6,6,4,133,174,18,1
South America,Windows,HTTP,22,7,15,10,140,174,103,1
Asia,Linux,HTTP,4,6,7,1,93,174,103,1
North America,Linux,HTTP,29,9,3,5,107,249,92,1
South America,Linux,HTTP,47,7,3,5,29,174,112,1
North America,Linux,HTTP,24,0,5,6,77,249,103,1
North America,Linux,HTTP,31,9,8,3,0,328,72,1
South America,Linux,HTTP,8,7,5,6,62,102,72,1
Asia,Linux,HTTP,15,3,4,2,103,249,103,1
Asia,Linux,HTTP,4,6,2,7,14,316,112,1
South America,Linux,HTTP,9,7,7,1,142,303,72,1
Asia,Linux,HTTP,4,6,2,7,93,174,2,1
North America,Linux,HTTP,37,0,3,5,29,127,103,1
Asia,Linux,HTTP,39,6,4,2,107,0,72,1
Asia,Linux,HTTP,3,3,1,0,93,249,24,1
Africa,Linux,HTTP,36,2,1,0,80,316,103,1
Africa,Linux,HTTP,36,2,7,1,29,249,92,1
Africa,Linux,HTTP,33,2,5,6,29,174,112,1
South America,Linux,HTTP,45,10,3,5,133,174,18,1
South America,Linux,HTTP,7,7,2,7,140,316,12,1
North America,Linux,HTTP,14,9,5,6,124,174,98,1
Africa,Linux,FTP,36,2,1,0,130,316,103,1
Africa,Linux,HTTP,36,2,1,0,93,174,103,1
Asia,Linux,HTTP,35,3,1,0,29,174,103,1
Africa,Linux,HTTP,36,2,1,0,93,174,92,1
Asia,Linux,HTTP,4,6,2,7,62,316,2,1
Africa,Linux,HTTP,21,4,2,7,93,174,103,1
South America,Linux,HTTP,45,10,3,5,80,249,103,1
Asia,Windows,HTTP,4,6,15,10,29,249,72,1
Asia,Linux,HTTP,4,6,6,4,130,316,109,1
Asia,Linux,HTTP,4,6,1,0,62,0,72,1
South America,Linux,HTTP,9,7,3,5,103,249,59,1
North America,Linux,HTTP,25,9,7,1,142,174,103,1
Asia,Linux,HTTP,3,3,3,5,29,249,103,1
Asia,Linux,HTTP,4,6,6,4,93,174,18,1
Asia,Linux,HTTP,4,6,1,0,29,249,103,1
South America,Linux,HTTP,38,10,7,1,29,21,98,0
Asia,Linux,HTTP,4,6,4,2,29,249,103,1
North America,Linux,HTTP,37,0,7,1,115,325,92,1
Asia,Linux,HTTP,49,6,2,7,0,313,48,1
South America,Linux,HTTP,45,10,1,0,142,316,72,1
Asia,Linux,HTTP,4,6,2,7,129,316,114,1
Africa,Linux,HTTP,33,2,6,4,77,249,98,1
Africa,Linux,HTTP,36,2,1,0,93,316,92,1
Asia,Linux,HTTP,35,3,2,7,119,0,98,1
Africa,Windows,HTTP,36,2,15,10,93,174,92,1
South America,Linux,HTTP,44,1,2,7,93,249,24,1
North America,Linux,HTTP,24,0,7,1,29,249,72,1
Africa,Linux,HTTP,33,2,7,1,29,249,103,1
South America,Windows,HTTP,2,10,12,16,62,0,103,1
Asia,Windows,HTTP,4,6,15,10,29,249,103,1
South America,Linux,HTTP,45,10,3,5,29,174,112,1
North America,Mac,HTTP,16,0,9,8,29,174,112,1
Africa,Linux,HTTP,21,4,2,7,93,174,72,1
North America,Linux,HTTP,37,0,6,4,138,313,116,1
South America,Windows,HTTP,47,7,15,10,29,249,112,1
North America,Linux,SSH,43,9,5,6,142,316,103,1
South America,Windows,HTTP,22,7,15,10,142,174,103,1
South America,Windows,HTTP,42,7,11,17,115,316,103,1
North America,Linux,HTTP,24,0,5,6,93,277,72,1
South America,Linux,HTTP,7,7,2,7,62,0,72,1
Africa,Linux,HTTP,33,2,8,3,93,249,112,1
North America,Linux,HTTP,25,9,6,4,29,249,112,1
Africa,Linux,HTTP,21,4,5,6,93,174,103,1
Asia,Linux,HTTP,4,6,5,6,128,316,72,1
South America,Linux,HTTP,38,10,3,5,142,179,103,0
Asia,Mac,HTTP,4,6,9,8,80,174,112,1
Africa,Linux,HTTP,33,2,8,3,29,249,92,1
South America,Linux,HTTP,45,10,1,0,29,127,103,1
Africa,Linux,HTTP,36,2,1,0,142,0,92,1
Asia,Linux,HTTP,4,6,2,7,29,0,72,1
North America,Linux,SMTP,50,0,6,4,142,316,112,1
Asia,Linux,HTTP,15,3,4,2,93,174,18,1
Asia,Linux,HTTP,4,6,1,0,119,174,42,1
South America,Linux,HTTP,44,1,8,3,62,174,59,1
North America,Windows,HTTP,24,0,11,17,29,316,103,1
Asia,Linux,HTTP,49,6,2,7,62,316,72,1
Africa,Linux,HTTP,36,2,6,4,62,316,92,1
Africa,Linux,HTTP,21,4,7,1,14,249,109,1
Africa,Linux,HTTP,21,4,8,3,29,174,112,1
Africa,Linux,HTTP,33,2,5,6,93,127,112,1
Asia,Linux,HTTP,4,6,1,0,103,0,72,1
Asia,Windows,HTTP,4,6,15,10,80,0,72,1
South America,Mac,HTTP,19,1,9,8,29,316,2,1
South America,Linux,HTTP,42,7,9,8,29,174,111,1
Africa,Linux,HTTP,33,2,7,1,29,249,72,1
North America,Linux,HTTP,16,0,1,0,29,316,103,1
Asia,Windows,HTTP,49,6,15,10,29,174,110,1
South America,Mac,HTTP,44,1,9,8,62,174,103,1
South America,Mac,HTTP,22,7,9,8,93,174,112,1
South America,Mac,HTTP,8,7,9,8,93,174,112,1
Africa,Linux,HTTP,33,2,6,4,93,174,18,1
South America,Linux,HTTP,8,7,8,3,93,174,103,1
Africa,Linux,HTTP,33,2,8,3,142,0,72,1
Asia,Linux,HTTP,4,6,4,2,62,249,111,1
Asia,Windows,HTTP,4,6,15,10,14,174,109,1
Africa,Windows,HTTP,36,2,15,10,93,174,92,0
North America,Windows,HTTP,24,0,16,12,133,74,103,1
Africa,Linux,HTTP,33,2,5,6,93,127,18,1
Africa,Linux,HTTP,33,2,7,1,130,316,72,1
North America,Linux,HTTP,25,9,6,4,14,0,72,1
Asia,Linux,HTTP,4,6,3,5,142,249,72,1
Africa,Linux,HTTP,21,4,2,7,103,0,72,1
North America,Linux,HTTP,24,0,6,4,142,316,102,1
Africa,Linux,HTTP,21,4,2,7,62,249,112,1
Asia,Linux,HTTP,4,6,1,0,93,179,103,0
Asia,Linux,HTTP,4,6,3,5,93,174,72,1
Africa,Linux,HTTP,33,2,7,1,93,174,111,1
Asia,Linux,HTTP,4,6,4,2,103,174,103,1
Asia,Linux,HTTP,3,3,7,1,93,174,103,1
Asia,Linux,HTTP,3,3,1,0,29,0,72,1
Asia,Linux,HTTP,49,6,2,7,0,249,72,1
Asia,Linux,HTTP,4,6,1,0,130,174,98,1
Asia,Linux,HTTP,4,6,1,0,62,316,116,1
Asia,Linux,HTTP,4,6,4,2,53,192,18,0
North America,Linux,HTTP,43,9,5,6,142,316,103,1
Asia,Linux,HTTP,49,6,2,7,111,200,83,0
Asia,Linux,HTTP,3,3,2,7,62,303,72,1
Africa,Windows,HTTP,36,2,15,10,93,174,92,1
South America,Linux,HTTP,47,7,6,4,80,174,98,1
Africa,Linux,HTTP,33,2,5,6,93,249,72,1
Africa,Linux,HTTP,33,2,7,1,29,249,103,1
Asia,Linux,HTTP,4,6,3,5,62,303,72,1
North America,Linux,HTTP,25,9,3,5,62,316,103,1
Asia,Windows,HTTP,4,6,15,10,29,249,103,1
Asia,Linux,HTTP,3,3,2,7,93,174,18,1
Asia,Linux,HTTP,3,3,4,2,80,249,98,1
Africa,Windows,HTTP,36,2,15,10,93,174,92,1
North America,Linux,HTTP,24,0,6,4,142,0,59,1
North America,Linux,HTTP,16,0,1,0,29,0,42,1
Africa,Linux,HTTP,36,2,6,4,29,249,92,1
Asia,Linux,HTTP,4,6,1,0,119,249,92,1
Africa,Linux,HTTP,33,2,6,4,29,174,112,1
North America,Linux,HTTP,16,0,1,0,93,102,24,1
North America,Linux,HTTP,16,0,1,0,62,316,2,1
Asia,Linux,HTTP,4,6,6,4,25,316,72,1
North America,Linux,HTTP,29,9,8,3,80,316,92,1
South America,Linux,HTTP,38,10,3,5,142,0,72,1
Asia,Linux,HTTP,4,6,3,5,93,174,103,1
South America,Linux,HTTP,45,10,5,6,130,174,24,1
North America,Linux,HTTP,37,0,3,5,80,0,98,1
South America,Linux,HTTP,9,7,5,6,29,0,72,1
North America,Linux,HTTP,24,0,6,4,29,249,113,1
Asia,Linux,HTTP,4,6,5,6,53,174,112,1
Africa,Linux,HTTP,21,4,7,1,93,174,112,1
Africa,Linux,HTTP,36,2,1,0,93,127,92,1
Africa,Linux,HTTP,33,2,8,3,29,316,72,1
South America,Windows,HTTP,22,7,15,10,29,174,103,1
Asia,Linux,HTTP,49,6,6,4,29,174,110,1
South America,Linux,HTTP,45,10,1,0,29,0,72,1
Africa,Linux,HTTP,6,4,5,6,93,174,112,1
Asia,Linux,HTTP,15,3,6,4,119,249,59,1
Asia,Linux,HTTP,4,6,2,7,119,174,103,1
North America,Linux,HTTP,18,9,3,5,80,249,103,1
Africa,Linux,HTTP,21,4,4,2,29,0,72,1
Africa,Linux,HTTP,6,4,5,6,62,0,103,1
Asia,Linux,HTTP,4,6,4,2,29,0,72,1
South America,Linux,HTTP,47,7,4,2,93,174,103,1
Africa,Mac,HTTP,33,2,17,11,29,174,102,1
Asia,Linux,HTTP,4,6,5,6,29,0,34,1
Asia,Linux,HTTP,5,3,5,6,29,249,72,1
Asia,Linux,HTTP,35,3,4,2,29,174,103,1
